,player_name,B,S,batter_team
121,Corbin Carroll-AZ,38.0,34.0,AZ
122,Corey Dickerson-WSH,3.0,14.0,WSH
123,Corey Julks-HOU,25.0,20.0,HOU
124,Corey Seager-TEX,18.0,18.0,TEX
125,Cristian Pache-PHI,0.0,4.0,PHI
126,Curt Casali-CIN,8.0,8.0,CIN
127,Curtis Mead-TB,2.0,1.0,TB
128,DJ LeMahieu-NYY,43.0,31.0,NYY
129,DJ Stewart-NYM,2.0,2.0,NYM
130,Dairon Blanco-KC,5.0,2.0,KC
131,Dane Myers-MIA,1.0,4.0,MIA
132,Daniel Vogelbach-NYM,26.0,31.0,NYM
133,Danny Jansen-TOR,17.0,20.0,TOR
134,Danny Mendick-NYM,5.0,7.0,NYM
135,Dansby Swanson-CHC,31.0,22.0,CHC
136,Darick Hall-PHI,1.0,2.0,PHI
137,Darin Ruf-MIL,1.0,4.0,MIL
138,Darin Ruf-SF,3.0,1.0,SF
139,Daulton Varsho-TOR,32.0,27.0,TOR
140,David Dahl-SD,1.0,1.0,SD
141,David Fletcher-LAA,3.0,4.0,LAA
142,David Hamilton-BOS,2.0,1.0,BOS
143,David Hensley-HOU,14.0,3.0,HOU
144,David Peralta-LAD,23.0,15.0,LAD
145,David Villar-SF,9.0,10.0,SF
146,Derek Hill-WSH,4.0,5.0,WSH
147,Dominic Canzone-AZ,2.0,3.0,AZ
148,Dominic Canzone-SEA,5.0,2.0,SEA
149,Dominic Fletcher-AZ,4.0,9.0,AZ
150,Dominic Smith-WSH,29.0,15.0,WSH
151,Donovan Solano-MIN,27.0,26.0,MIN
152,Drew Ellis-PHI,1.0,4.0,PHI
153,Drew Waters-KC,18.0,7.0,KC
154,Dylan Carlson-STL,26.0,17.0,STL
155,Dylan Moore-SEA,7.0,6.0,SEA
156,Eddie Rosario-ATL,23.0,14.0,ATL
157,Edmundo Sosa-PHI,16.0,12.0,PHI
158,Edouard Julien-MIN,31.0,12.0,MIN
159,Eduardo Escobar-LAA,9.0,6.0,LAA
160,Eduardo Escobar-NYM,15.0,9.0,NYM
161,Edward Olivares-KC,27.0,17.0,KC
162,Edwin Rios-CHC,1.0,4.0,CHC
163,Ehire Adrianza-ATL,1.0,0.0,ATL
164,Elehuris Montero-COL,13.0,8.0,COL
165,Eli White-ATL,3.0,3.0,ATL
166,Elias Diaz-COL,19.0,24.0,COL
167,Elly De La Cruz-CIN,18.0,11.0,CIN
168,Eloy Jimenez-CWS,22.0,12.0,CWS
169,Elvis Andrus-CWS,26.0,29.0,CWS
170,Emmanuel Rivera-AZ,22.0,10.0,AZ
171,Endy Rodriguez-PIT,9.0,5.0,PIT
172,Enmanuel Valdez-BOS,10.0,6.0,BOS
173,Enrique Hernandez-BOS,29.0,18.0,BOS
174,Enrique Hernandez-LAD,4.0,6.0,LAD
175,Eric Haase-DET,22.0,20.0,DET
176,Eric Hosmer-CHC,6.0,8.0,CHC
177,Esteury Ruiz-OAK,23.0,15.0,OAK
178,Eugenio Suarez-SEA,40.0,45.0,SEA
179,Evan Longoria-AZ,13.0,19.0,AZ
180,Ezequiel Duran-TEX,18.0,13.0,TEX
181,Ezequiel Tovar-COL,34.0,7.0,COL
182,Fernando Tatis Jr.-SD,27.0,32.0,SD
183,Forrest Wall-ATL,1.0,0.0,ATL
184,Franchy Cordero-NYY,4.0,3.0,NYY
185,Francisco Alvarez-NYM,25.0,17.0,NYM
186,Francisco Lindor-NYM,43.0,29.0,NYM
187,Francisco Mejia-TB,12.0,8.0,TB
188,Franmil Reyes-KC,9.0,2.0,KC
189,Freddie Freeman-LAD,32.0,42.0,LAD
190,Gabriel Arias-CLE,12.0,11.0,CLE
191,Gabriel Moreno-AZ,27.0,24.0,AZ
192,Garrett Cooper-MIA,15.0,19.0,MIA
193,Garrett Cooper-SD,1.0,2.0,SD
194,Garrett Hampson-MIA,10.0,16.0,MIA
195,Garrett Mitchell-MIL,10.0,5.0,MIL
196,Garrett Stubbs-PHI,9.0,6.0,PHI
197,Gary Sanchez-NYM,1.0,0.0,NYM
198,Gary Sanchez-SD,28.0,15.0,SD
199,Gavin Sheets-CWS,22.0,16.0,CWS
200,George Springer-TOR,40.0,35.0,TOR
201,Geraldo Perdomo-AZ,31.0,29.0,AZ
202,Giancarlo Stanton-NYY,27.0,30.0,NYY
203,Giovanny Urshela-LAA,19.0,13.0,LAA
