,player_name,B,S,batter_team
532,Travis Jankowski-TEX,19.0,16.0,TEX
533,Travis d'Arnaud-ATL,8.0,16.0,ATL
534,Trayce Thompson-CWS,5.0,0.0,CWS
535,Trayce Thompson-LAD,10.0,7.0,LAD
536,Trea Turner-PHI,41.0,20.0,PHI
537,Trent Grisham-SD,26.0,59.0,SD
538,Trevor Larnach-MIN,21.0,9.0,MIN
539,Trevor Story-BOS,4.0,1.0,BOS
540,Trey Mancini-CHC,20.0,18.0,CHC
541,Triston Casas-BOS,30.0,36.0,BOS
542,Tucker Barnhart-CHC,11.0,10.0,CHC
543,Tucupita Marcano-PIT,13.0,13.0,PIT
544,Ty France-SEA,34.0,20.0,SEA
545,Tyler Freeman-CLE,5.0,2.0,CLE
546,Tyler Heineman-PIT,1.0,1.0,PIT
547,Tyler Heineman-TOR,0.0,2.0,TOR
548,Tyler Nevin-DET,7.0,4.0,DET
549,Tyler O'Neill-STL,17.0,10.0,STL
550,Tyler Soderstrom-OAK,3.0,2.0,OAK
551,Tyler Stephenson-CIN,40.0,39.0,CIN
552,Tyler Wade-OAK,2.0,6.0,OAK
553,Tyrone Taylor-MIL,7.0,3.0,MIL
554,Vaughn Grissom-ATL,2.0,2.0,ATL
555,Victor Caratini-MIL,12.0,16.0,MIL
556,Victor Robles-WSH,12.0,9.0,WSH
557,Vidal Brujan-TB,6.0,0.0,TB
558,Vinnie Pasquantino-KC,18.0,12.0,KC
559,Vladimir Guerrero Jr.-TOR,38.0,26.0,TOR
560,Wander Franco-TB,21.0,42.0,TB
561,Whit Merrifield-TOR,29.0,13.0,TOR
562,Wil Myers-CIN,8.0,21.0,CIN
563,Will Benson-CIN,11.0,19.0,CIN
564,Will Brennan-CLE,14.0,16.0,CLE
565,Will Smith-LAD,38.0,20.0,LAD
566,Willi Castro-MIN,19.0,19.0,MIN
567,William Contreras-MIL,36.0,23.0,MIL
568,Willie Calhoun-NYY,8.0,18.0,NYY
569,Willson Contreras-STL,29.0,26.0,STL
570,Willy Adames-MIL,34.0,27.0,MIL
571,Wilmer Flores-SF,47.0,14.0,SF
572,Xander Bogaerts-SD,42.0,34.0,SD
573,Xavier Edwards-MIA,1.0,1.0,MIA
574,Yainer Diaz-HOU,13.0,11.0,HOU
575,Yan Gomes-CHC,26.0,16.0,CHC
576,Yandy Diaz-TB,40.0,26.0,TB
577,Yasmani Grandal-CWS,26.0,27.0,CWS
578,Yoan Moncada-CWS,15.0,9.0,CWS
579,Yonathan Daza-COL,5.0,6.0,COL
580,Yonny Hernandez-LAD,9.0,1.0,LAD
581,Yordan Alvarez-HOU,27.0,15.0,HOU
582,Yu Chang-BOS,8.0,3.0,BOS
583,Yulieski Gurriel-MIA,25.0,16.0,MIA
584,Zach McKinstry-DET,37.0,21.0,DET
585,Zach Neto-LAA,16.0,10.0,LAA
586,Zach Remillard-CWS,15.0,15.0,CWS
587,Zack Gelof-OAK,8.0,8.0,OAK
588,Zack Short-DET,15.0,15.0,DET
