,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
65,Brandon Lowe-TB,19.0,23.0,430.0,138.0,-2.152,3.868,TB
66,Brandon Marsh-PHI,37.0,24.0,538.0,283.0,-5.925000000000001,3.3579999999999997,PHI
67,Brandon Nimmo-NYM,40.0,33.0,762.0,409.0,-6.1960000000000015,4.048,NYM
68,Brayan Rocchio-CLE,6.0,3.0,57.0,34.0,-0.753,0.898,CLE
69,Brendan Donovan-STL,40.0,20.0,498.0,277.0,-4.338999999999999,2.299,STL
70,Brendan Rodgers-COL,3.0,0.0,42.0,33.0,-0.29400000000000004,0.0,COL
71,Brent Rooker-OAK,36.0,28.0,506.0,249.0,-4.032000000000001,3.9620000000000006,OAK
72,Brenton Doyle-COL,22.0,20.0,338.0,142.0,-3.017,2.739,COL
73,Brett Baty-NYM,27.0,24.0,409.0,222.0,-3.6670000000000007,4.397,NYM
74,Brett Phillips-LAA,2.0,1.0,26.0,15.0,-0.14,0.142,LAA
75,Brian Anderson-MIL,27.0,28.0,477.0,217.0,-4.789,2.648999999999999,MIL
76,Brian Serven-COL,1.0,2.0,20.0,16.0,-0.07400000000000001,0.11000000000000001,COL
77,Brice Turang-MIL,24.0,18.0,435.0,207.0,-2.487,2.1260000000000003,MIL
78,Bryan De La Cruz-MIA,42.0,18.0,609.0,315.0,-3.5530000000000004,2.457,MIA
79,Bryan Reynolds-PIT,51.0,30.0,647.0,252.0,-5.8960000000000035,4.058,PIT
80,Bryce Harper-PHI,21.0,17.0,499.0,131.0,-2.2990000000000004,1.7260000000000002,PHI
81,Bryson Stott-PHI,37.0,22.0,604.0,436.0,-3.5760000000000005,2.6350000000000002,PHI
82,Bubba Thompson-TEX,6.0,5.0,70.0,27.0,-0.5740000000000001,0.575,TEX
83,Byron Buxton-MIN,27.0,27.0,470.0,184.0,-3.357,3.727,MIN
84,C.J. Cron-COL,22.0,17.0,283.0,162.0,-3.2019999999999995,1.4420000000000002,COL
85,C.J. Cron-LAA,2.0,2.0,41.0,26.0,-0.17300000000000001,0.11000000000000001,LAA
86,CJ Abrams-WSH,24.0,24.0,450.0,213.0,-4.0920000000000005,2.1750000000000007,WSH
87,Cal Mitchell-PIT,2.0,0.0,7.0,3.0,-0.44699999999999995,0.0,PIT
88,Cal Raleigh-SEA,18.0,24.0,559.0,217.0,-2.3259999999999996,2.316,SEA
89,Cal Stevenson-SF,1.0,1.0,28.0,11.0,-0.101,0.21000000000000002,SF
90,Cam Gallagher-CLE,7.0,4.0,148.0,81.0,-1.1960000000000002,0.319,CLE
91,Canaan Smith-Njigba-PIT,2.0,1.0,55.0,31.0,-0.129,0.119,PIT
92,Carlos Correa-MIN,39.0,16.0,613.0,345.0,-5.939000000000003,2.368,MIN
93,Carlos Perez-OAK,11.0,4.0,182.0,100.0,-1.482,0.46799999999999997,OAK
94,Carlos Santana-MIL,4.0,3.0,83.0,37.0,-0.451,0.44400000000000006,MIL
95,Carlos Santana-PIT,25.0,24.0,571.0,228.0,-2.801,4.102000000000001,PIT
96,Carson Kelly-AZ,7.0,4.0,112.0,68.0,-0.9640000000000001,0.49900000000000005,AZ
97,Casey Schmitt-SF,14.0,19.0,202.0,100.0,-1.972,2.36,SF
98,Cavan Biggio-TOR,30.0,12.0,262.0,173.0,-3.988000000000001,1.451,TOR
99,Cedric Mullins-BAL,26.0,18.0,420.0,197.0,-3.959999999999999,2.7880000000000003,BAL
100,Chad Wallach-LAA,6.0,12.0,187.0,79.0,-0.674,2.543,LAA
101,Chadwick Tromp-ATL,0.0,1.0,14.0,10.0,0.0,0.21000000000000002,ATL
102,Charlie Blackmon-COL,17.0,15.0,301.0,149.0,-1.9409999999999998,1.831,COL
103,Chas McCormick-HOU,31.0,14.0,420.0,183.0,-3.7270000000000003,1.842,HOU
104,Chris Owings-PIT,1.0,2.0,22.0,12.0,-0.07500000000000001,0.422,PIT
105,Chris Taylor-LAD,18.0,25.0,394.0,152.0,-2.299,4.045000000000001,LAD
